Date,High,Low,Last,Bid,Ask,Volume,VWAP
2020-07-07,9385.81,9201.78,9245.36,9245.57,9249.3,4826.93376038,9267.0
2020-07-06,9355.32,9060.5,9293.76,9294.13,9297.49,5214.21923757,9235.81
2020-07-05,9147.37,8905.0,9076.32,9082.21,9087.99,3014.10152536,9049.31
2020-07-04,9196.0,9027.17,9126.99,9127.0,9133.33,2399.10142789,9099.08
2020-07-03,9127.11,9044.79,9084.99,9080.9,9084.99,3297.50911167,9092.4
2020-07-02,9268.54,8939.0,9106.9,9101.8,9106.89,6845.07119377,9107.67
2020-07-01,9300.0,9089.8,9248.61,9243.21,9248.16,4342.06614175,9206.63
2020-06-30,9201.95,9060.0,9131.84,9130.32,9133.45,2760.49866169,9140.69
2020-06-29,9240.36,9014.92,9178.34,9182.57,9188.52,5056.50685168,9104.82
2020-06-28,9191.72,8933.06,9096.88,9096.99,9100.72,3337.68158951,9068.46
2020-06-27,9189.0,8830.63,8957.11,8956.4,8968.91,4282.77545654,9023.58
2020-06-26,9289.71,9024.61,9166.47,9166.47,9169.35,7922.27935968,9150.36
2020-06-25,9343.49,8989.0,9256.48,9249.31,9255.55,8963.9444811,9198.18
2020-06-24,9666.35,9193.99,9290.1,9288.47,9293.79,10055.36077656,9394.0
2020-06-23,9725.3,9571.0,9607.83,9607.29,9611.13,4602.91281155,9643.33
2020-06-22,9798.76,9267.2,9683.69,9680.63,9683.69,6658.66477336,9529.13
2020-06-21,9421.26,9271.52,9305.85,9295.72,9302.13,1400.50723599,9349.89
2020-06-20,9400.0,9138.0,9374.62,9375.09,9378.66,3060.80443676,9300.06
2020-06-19,9429.99,9225.15,9288.95,9285.59,9292.0,5360.95720908,9322.24
2020-06-18,9478.69,9250.0,9367.1,9372.28,9372.41,4010.01434605,9397.13
2020-06-17,9566.53,9230.32,9438.28,9436.09,9441.15,5892.94287808,9427.29
2020-06-16,9596.31,9374.9,9522.11,9522.16,9524.97,6889.02180584,9490.5
2020-06-15,9505.4,8900.0,9428.66,9426.57,9432.53,11845.039895,9187.48
2020-06-14,9485.28,9235.01,9378.51,9378.78,9383.59,3399.65303707,9375.26
2020-06-13,9500.0,9345.71,9436.91,9436.64,9437.01,2908.55192073,9427.11
2020-06-12,9555.0,9230.0,9476.1,9472.77,9479.15,7034.60783822,9406.44
2020-06-11,9981.24,9078.91,9313.47,9313.0,9319.66,16282.5186593,9529.63
2020-06-10,10011.4,9578.0,9896.53,9893.82,9901.55,7186.83633095,9819.66
2020-06-09,9897.46,9566.81,9779.66,9778.47,9782.59,7072.06956341,9722.05
